<<<<<<< HEAD
Painting,Value
A Cast of Characters,306000
A Winding Road Home,314000
Breathless,307500
Brother Brother,305500
Chat on Fruit,310000
Consumato,308000
Gone To Seed,306500
Hare Oneself Think,304500
I - Fruit,312000
I Hear Voices,308500
In Excess of Success,313000
Juiced,313500
La Derniere Debauche,481250
Mi O Melee,317000
Pumpkin,310500
Stacks Study V,311500
Teckels,314500
The Downfall of Rome,305000
The Girl With the Pearl Necklace,309500
The Outcome of Endeavour,365000
To Beat About the Bush,312500
True Love,307000
Twindifference,311000
Until Death,315500
What Are Melons?,316000
Winter - Nowhere in Particular,309000
=======
Painting,Value
A Cast of Characters,306000
A Winding Road Home,314000
Breathless,307500
Brother Brother,305500
Chat on Fruit,310000
Consumato,308000
Gone To Seed,306500
Hare Oneself Think,304500
I - Fruit,312000
I Hear Voices,308500
In Excess of Success,313000
Juiced,313500
La Derniere Debauche,481250
Mi O Melee,317000
Pumpkin,310500
Stacks Study V,311500
Teckels,314500
The Downfall of Rome,305000
The Girl With the Pearl Necklace,309500
The Outcome of Endeavour,365000
To Beat About the Bush,312500
True Love,307000
Twindifference,311000
Until Death,315500
What Are Melons?,316000
Winter - Nowhere in Particular,309000
>>>>>>> 684f3c04fc21b592e2095ba010ae0b73a6c37813
Trust,315000
